Place of interest,Type of place,address,embajada_latitude,embajadas_longitude
Embajada de Chile,Embajada ,CALLE LAGASCA 88 PLANTA 6 Derecha,40.42991199250328,-3.6847609466814806
Embajada de China,Embajada ,CALLE ARTURO SORIA 111 y 113,40.45159983039448,-3.6530808256748477
Embajada de Chipre,Embajada ,PASEO CASTELLANA 45 4-5,40.4357025961309,-3.6896772816624206
Embajada de Colombia,Embajada ,PASEO GENERAL MARTINEZ CAMPOS 48,40.435042937705084,-3.6900124559407823
Embajada de Congo,Embajada ,CALLE DOCTOR FLEMING 45 PLANTA 1 F,40.46267526644442,-3.687880936282099
Embajada de Costa Rica,Embajada ,CALLE RIOS ROSAS 54 PLANTA BAJA DERECHA,40.441550649362455,-3.695491196074582
Embajada de Costa de Marfil,Embajada ,CALLE SERRANO 154,40.44436689148431,-3.685532581089074
Embajada de Croacia,Embajada ,CALLE CLAUDIO COELLO 78 2,40.43000619511413,-3.685587151651725
Embajada de Cuba,Embajada ,PASEO LA HABANA 194,40.46201039787292,-3.680298066003204
Embajada de Dinamarca,Embajada ,CALLE SERRANO 26 PLANTA 7,40.42419079459679,-3.6878739673021554
Embajada de Ecuador,Embajada ,CALLE VELAZQUEZ 114 PLANTA 2 Derecha,40.435795915806075,-3.683063883088262
Embajada de Egipto,Embajada ,CALLE VELAZQUEZ 69,40.4308453094989,-3.683850838409026
Embajada de El Salvador,Embajada ,PASEO CASTELLANA 178 PLANTA 1 D,40.4608230762265,-3.689108497357059
Embajada de Emiratos Árabes Unidos,Embajada ,CALLE HERNANDEZ DE TEJADA 7,40.44732421323511,-3.650834273921257
Embajada de Eslovaquia,Embajada ,CALLE PINAR 20,40.439131480262496,-3.6872480288401794
Embajada de Eslovenia,Embajada ,CALLE HERMANOS BECQUER 7 PLANTA 2,40.43655950820698,-3.687988217057569
Embajada de Estados Unidos de América,Embajada ,CALLE SERRANO 75,40.43462082822759,-3.686765868102311
Embajada de Estonia,Embajada ,CALLE CLAUDIO COELLO 91 PLANTA 1 DERECHA,40.43068902185026,-3.6859006104054375
Embajada de Filipinas,Embajada ,CALLE ERESMA 2,40.44669945349186,-3.685662410274511
