Place of interest,Type of place,Place address,BiciMAD station,Station location
Consulado de Rumanía,Consulado,AVENIDA ALBUFERA 319 PLANTA 15,221 - Pavones,Calle Hacienda de Pavones nº 342
Consulado de Venezuela,Consulado,CALLE APOLONIO MORALES 3,255 - López Pozas,Calle General López Pozas nº 2
Embajada de Congo,Embajada ,CALLE DOCTOR FLEMING 45 PLANTA 1 F,255 - López Pozas,Calle General López Pozas nº 2
Embajada de Afganistan,Embajada ,CALLE MORALZARZAL 44,217 - Pedro Rico,Calle Pedro Rico nº 4
Embajada de Omán,Embajada ,AVENIDA CARDENAL HERRERA ORIA 138,217 - Pedro Rico,Calle Pedro Rico nº 4
Embajada de Senegal,Embajada ,CALLE MORALZARZAL 18,217 - Pedro Rico,Calle Pedro Rico nº 4
Embajada de Albania,Embajada ,CALLE LAGASCA 68 PLANTA 1 D,87 - Ayala,Calle Ayala nº 44
Embajada de Azerbaiyán,Embajada ,CALLE VELAZQUEZ 43 PLANTA 1 derecha,87 - Ayala,Calle Ayala nº 44
Embajada de Andorra,Embajada ,CALLE ALCALA 73,60 - Plaza de la Independencia,Plaza de la Independencia nº 6
Embajada de Francia,Embajada ,CALLE SALUSTIANO OLOZAGA 9,60 - Plaza de la Independencia,Plaza de la Independencia nº 6
Embajada de Angola,Embajada ,CALLE LAGASCA 88 PLANTA 2,88 - Embajada de Italia,Calle Velázquez nº 75
Embajada de Chile,Embajada ,CALLE LAGASCA 88 PLANTA 6 Derecha,88 - Embajada de Italia,Calle Velázquez nº 75
Embajada de Egipto,Embajada ,CALLE VELAZQUEZ 69,88 - Embajada de Italia,Calle Velázquez nº 75
Embajada de Italia,Embajada ,CALLE LAGASCA 98,88 - Embajada de Italia,Calle Velázquez nº 75
Embajada de Portugal,Embajada ,CALLE LAGASCA 88 PLANTA 4 A,88 - Embajada de Italia,Calle Velázquez nº 75
Embajada de Argelia,Embajada ,CALLE GENERAL ORAA 12,190 - Velázquez-Diego de León,Calle Velázquez nº 91
Embajada de Ecuador,Embajada ,CALLE VELAZQUEZ 114 PLANTA 2 Derecha,190 - Velázquez-Diego de León,Calle Velázquez nº 91
Embajada de Guatemala,Embajada ,CALLE VELAZQUEZ 114 PLANTA 1 IZQUIERDA,190 - Velázquez-Diego de León,Calle Velázquez nº 91
Embajada de Armenia,Embajada ,CALLE MAYOR 81 Entrada derecha,166 - Segovia 26,Calle Segovia nº 26
Embajada de Bangladesh,Embajada ,CALLE MANUEL MARAÑÓN 13,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
Embajada de Indonesia,Embajada ,CALLE AGASTIA 65,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
Embajada de Iraq,Embajada ,CALLE CARRIL DEL CONDE 56,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2
Embajada de Belarus,Embajada ,CALLE CALERUEGA 81 PLANTA 2 A,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Embajada de Canadá,Embajada ,PASEO CASTELLANA 259 D Torre Emperador Castellana,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Embajada de Bosnia y Herzegovina,Embajada ,CALLE LAGASCA 20 PLANTA 2 Izquierda,95 - Villanueva,Calle Claudio Coello nº 109
Embajada de Cabo Verde,Embajada ,CALLE PRINCIPE DE VERGARA 93 PLANTA 1 A-B,194 - Avenida de América 2,Calle Francisco Silvela nº 86
